"CEIN","RIRO","QUKE","ARPA","CECO","ABCO","PILA","CEPR","PIPO","PSME","SYMO","CEVE"
0.985656766132627,0.00337188616828149,0,0.010971347699092,0,0,0,0,0,0,0,0
0,0,0,0.40745101797719,0.59254898202281,0,0,0,0,0,0,0
0.890480718352277,0.0962577198866402,0,0.0132615617610824,0,0,0,0,0,0,0,0
0.0299675004861038,0,0.00352345157230554,0,0.928338678694977,0,0,0.0381703692466138,0,0,0,0
0,0.0926814175817336,0,0,0.907318582418266,0,0,0,0,0,0,0
0.987860325941135,0,0,0.000328099298888254,0,0,0,0.0118115747599771,0,0,0,0
0.942518983806457,0.00254522651462056,0.00596295155939351,0.0488975578321987,0,0,0,0,7.52802873298007e-05,0,0,0
0.997903043688658,0.00209695631134218,0,0,0,0,0,0,0,0,0,0
0.996538272362857,0,0.00346172763714278,0,0,0,0,0,0,0,0,0
0,0,0,0,0.986995887298433,0,0,0.0130041127015671,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0.258497316636851,0.0724508050089445,0,0,0,0,0,0,0,0,0,0.669051878354204
0.297064238241901,0,0,0.000283676446749878,0.702652085311349,0,0,0,0,0,0,0
0.00105028396566479,0,0,0.221869246129509,0.777080469904826,0,0,0,0,0,0,0
